"","acct_id_code","merchant_code","score","offer"
"1",19,"M1008",0,"No"
"2",19,"M1707",0,"No"
"3",19,"M1883",0,"No"
"4",19,"M2168",0.23,"Yes"
"5",19,"M2203",0,"No"
"6",19,"M2493",0,"No"
"7",19,"M3123",0.09,"Yes"
"8",19,"M3126",0,"No"
"9",19,"M3172",0.36,"Yes"
"10",19,"M3342",0.01,"No"
"11",19,"M3437",0.05,"No"
"12",19,"M3456",0.18,"Yes"
"13",19,"M382",0.02,"No"
"14",19,"M3868",0.06,"Yes"
"15",42,"M1008",0.02,"No"
"16",42,"M1707",0,"No"
"17",42,"M1883",0.19,"Yes"
"18",42,"M2168",0.09,"Yes"
"19",42,"M2203",0,"No"
"20",42,"M2493",0,"No"
"21",42,"M3123",0,"No"
"22",42,"M3126",0,"No"
"23",42,"M3172",0.45,"Yes"
"24",42,"M3342",0.05,"No"
"25",42,"M3437",0.05,"No"
"26",42,"M3456",0.18,"Yes"
"27",42,"M382",0.06,"Yes"
"28",42,"M3868",0.02,"No"
"29",74,"M1008",0,"No"
"30",74,"M1707",0,"No"
"31",74,"M1883",0,"No"
"32",74,"M2168",0.11,"Yes"
"33",74,"M2203",0,"No"
"34",74,"M2493",0,"No"
"35",74,"M3123",0.04,"Yes"
"36",74,"M3126",0.01,"No"
"37",74,"M3172",0.48,"Yes"
"38",74,"M3342",0.21,"Yes"
"39",74,"M3437",0.02,"No"
"40",74,"M3456",0.31,"Yes"
"41",74,"M382",0.02,"No"
"42",74,"M3868",0,"No"
"43",75,"M1008",0,"No"
"44",75,"M1707",0,"No"
"45",75,"M1883",0,"No"
"46",75,"M2168",0.02,"No"
"47",75,"M2203",0.01,"No"
"48",75,"M2493",0.01,"No"
"49",75,"M3123",0,"No"
"50",75,"M3126",0,"No"
"51",75,"M3172",0.01,"No"
"52",75,"M3342",0,"No"
"53",75,"M3437",0.01,"No"
"54",75,"M3456",0,"No"
"55",75,"M382",0.05,"No"
"56",75,"M3868",0.02,"No"
"57",135,"M1008",0,"No"
"58",135,"M1707",0,"No"
"59",135,"M1883",0,"No"
"60",135,"M2168",0.2,"Yes"
"61",135,"M2203",0,"No"
"62",135,"M2493",0,"No"
"63",135,"M3123",0.08,"Yes"
"64",135,"M3126",0.01,"No"
"65",135,"M3172",0.46,"Yes"
"66",135,"M3342",0.04,"No"
"67",135,"M3437",0.04,"No"
"68",135,"M3456",0.11,"Yes"
"69",135,"M382",0.01,"No"
"70",135,"M3868",0.17,"Yes"
"71",158,"M1008",0.01,"No"
"72",158,"M1707",0,"No"
"73",158,"M1883",0.01,"No"
"74",158,"M2168",0.08,"Yes"
"75",158,"M2203",0.01,"No"
"76",158,"M2493",0,"No"
"77",158,"M3123",0.04,"No"
"78",158,"M3126",0,"No"
"79",158,"M3172",0.16,"Yes"
"80",158,"M3342",0.07,"No"
"81",158,"M3437",0.31,"Yes"
"82",158,"M3456",0.28,"Yes"
"83",158,"M382",0.21,"Yes"
"84",158,"M3868",0.01,"No"
"85",197,"M1008",0,"No"
"86",197,"M1707",0,"No"
"87",197,"M1883",0.01,"No"
"88",197,"M2168",0.47,"Yes"
"89",197,"M2203",0.02,"No"
"90",197,"M2493",0,"No"
"91",197,"M3123",0.19,"Yes"
"92",197,"M3126",0,"No"
"93",197,"M3172",0.32,"Yes"
"94",197,"M3342",0.33,"Yes"
"95",197,"M3437",0.03,"No"
"96",197,"M3456",0.2,"Yes"
"97",197,"M382",0.01,"No"
"98",197,"M3868",0.06,"No"
"99",199,"M1008",0.01,"No"
"100",199,"M1707",0,"No"
"101",199,"M1883",0.01,"No"
"102",199,"M2168",0.16,"Yes"
"103",199,"M2203",0,"No"
"104",199,"M2493",0.01,"No"
"105",199,"M3123",0,"No"
"106",199,"M3126",0,"No"
